Word,Meaning
about,关于
above,在……上面
across,穿过
act,表演
actor,男演员
actress,女演员
address,地址
adult,成年人
advice,建议
after,在……之后
afternoon,下午
again,再一次
age,年龄
ago,以前
agree,同意
air,空气
airport,机场
all,所有的
also,也
always,总是
amazing,令人惊异的
and,和
angry,生气的
animal,动物
another,另一个
answer,回答
any,任何
apartment,公寓
apple,苹果
area,区域
arm,胳膊
around,在周围
arrive,到达
art,艺术
article,文章
artist,艺术家
as,作为
ask,询问
at,在
aunt,姑妈
autumn,秋天
away,离开
baby,婴儿
back,背后 / 回来
bad,坏的
bag,包
ball,球
banana,香蕉
bank,银行
base,基础
basketball,篮球
bath,洗澡
bathroom,浴室
be,是
beach,海滩
beautiful,美丽的
because,因为
become,变成
bed,床
bedroom,卧室
before,在……之前
begin,开始
behind,在……后面
believe,相信
below,在……下面
best,最好的
better,更好的
between,在……之间
big,大的
bike,自行车
bill,账单
bird,鸟
birthday,生日
black,黑色的
blog,博客
blue,蓝色的
boat,船
body,身体
book,书
boot,靴子
bored,无聊的
boring,令人厌烦的
born,出生
borrow,借
both,两者都
bottle,瓶子
box,盒子
boy,男孩
boyfriend,男朋友
bread,面包
break,打破 / 休息
breakfast,早餐
bring,带来
brother,兄弟
brown,棕色的
build,建造
building,建筑
bus,公共汽车
business,生意
busy,忙碌的
but,但是
butter,黄油
buy,买
by,通过
bye,再见
cafe,咖啡馆
cake,蛋糕
call,打电话 / 叫
camera,相机
can,能
cannot,不能
capital,首都
car,汽车
card,卡片
care,关心
career,职业
careful,小心的
carefully,小心地
carry,携带
cat,猫
catch,抓住
cent,分（货币单位）
centre,中心
century,世纪
certainly,当然
chair,椅子
change,改变 / 找零
cheap,便宜的
check,检查
cheese,奶酪
chicken,鸡肉
child,孩子
children,孩子们
chocolate,巧克力
choose,选择
cinema,电影院
city,城市
class,班级 / 课堂
classmate,同学
classroom,教室
clean,干净的 / 打扫
clearly,清楚地
clever,聪明的
climb,爬
clock,时钟
close,关闭 / 近的
clothes,衣服
cloud,云
cloudy,多云的
club,俱乐部
coat,外套
coffee,咖啡
cold,冷的 / 感冒
colour,颜色
come,来
comfortable,舒适的
common,常见的
company,公司
compete,竞争
competition,比赛
complete,完成
computer,电脑
concert,音乐会
conversation,对话
cook,做饭 / 厨师
cooker,炊具
cooking,烹饪
cool,凉爽的 / 酷的
correct,正确的
cost,花费
could,可以
country,国家
course,课程
cousin,堂表兄弟姐妹
cow,母牛
cream,奶油
create,创造
cross,穿过
cry,哭
